@relation 2D_dataset

@attribute x numeric
@attribute y numeric

@data
4.97,7.53
8.36,12.6
8.44,9.04
3.68,7.14
8.09,5.17
6.79,3.44
10.37,4.3
6.52,9.98
12.94,11.73
9.15,9.78
6.91,4.87
6.67,6.5
4.66,6.78
6.69,10.14
7.02,9.34
6.53,6.12
12.99,7.29
8.72,12.25
7.96,8.83
8.53,9.78
12.18,9.1
4.04,6.16
8.96,8.33
8.51,9.05
3.66,7.19
10.33,3.75
8.3,8.19
10.46,8.23
3.15,3.34
8.83,3.48
6.56,5.37
11.0,9.54
6.35,11.43
3.89,11.58
11.36,6.23
4.62,3.84
9.74,3.79
9.76,3.62
11.44,5.33
3.17,12.01
5.61,4.19
9.28,12.55
10.6,7.13
5.53,4.47
12.94,5.66
11.65,12.2
4.07,10.08
6.0,8.89
8.24,3.75
9.11,7.38
12.87,4.87
12.27,8.67
12.89,8.44
4.72,4.45
4.02,11.43
6.63,7.18
6.18,10.36
5.87,8.63
6.74,11.37
6.2,5.27
5.55,9.48
10.89,6.77
7.77,5.59
10.82,12.23
8.21,6.89
8.44,7.07
10.92,8.6
9.44,12.59
10.66,12.96
11.85,9.21
8.91,4.29
8.62,3.81
5.37,7.35
3.16,11.56
7.68,9.88
8.99,12.53
5.96,9.25
4.18,3.93
6.08,7.47
8.22,9.29
5.27,8.29
4.15,7.36
6.38,5.24
11.49,4.26
12.71,9.55
6.3,4.65
3.29,12.55
12.88,9.16
10.09,8.01
8.13,7.95
11.97,5.92
3.67,12.68
7.51,10.94
12.37,12.11
7.85,5.36
6.11,9.71
3.43,8.63
8.69,5.32
3.54,12.88
3.46,6.63
5.44,6.76
8.08,10.43
10.83,7.64
10.0,7.97
10.96,6.06
4.86,3.73
7.94,4.57
6.76,11.79
9.38,7.35
3.38,9.5
5.07,6.11
11.66,3.87
9.77,12.75
9.21,11.98
3.42,8.62
4.85,3.33
10.75,6.1
7.09,8.35
5.68,8.22
12.89,4.59
11.64,8.33
10.27,9.09
8.28,12.76
7.55,3.28
6.47,5.93
8.5,4.46
8.16,9.41
7.97,6.18
4.98,3.13
4.46,8.48
9.63,9.8
6.9,7.61
7.18,11.06
10.76,4.08
8.96,7.05
4.65,7.42
10.62,9.46
12.33,5.73
7.14,11.71
6.66,8.07
11.86,9.13
11.3,8.51
3.69,5.93
3.24,10.85
6.41,5.84
4.29,4.61
6.8,7.81
12.35,3.74
3.59,8.72
4.1,11.37
7.75,10.37
8.97,6.05
5.52,9.03
10.74,6.81
9.8,12.03
7.03,7.26
11.74,7.19
8.89,11.82
4.61,7.95
12.39,10.19
3.66,8.95
11.59,9.96
11.38,4.32
7.72,10.92
5.35,3.83
12.3,8.81
6.57,9.79
3.03,10.73
9.92,11.36
10.2,9.25
4.75,11.14
7.47,7.28
12.84,3.46
5.82,11.21
3.05,12.5
11.21,5.41
6.6,3.52
6.77,7.48
5.04,10.05
8.11,9.73
3.02,5.32
5.82,9.04
11.44,6.67
12.92,4.43
12.63,7.6
6.08,8.58
8.31,3.37
8.67,7.56
12.36,12.27
10.37,10.58
5.49,6.99
3.03,9.9
5.95,7.01
4.72,9.64
10.56,6.01
4.44,10.99
3.54,5.45
8.0,10.5
6.27,8.99
11.51,7.42
9.54,10.52
12.65,6.34
11.79,12.38
11.72,10.71
10.38,9.2
3.42,3.93
10.56,7.34
7.88,5.03
6.34,9.27
4.25,6.99
10.15,7.31
3.23,7.25
3.9,11.34
5.1,11.59
11.94,10.78
8.85,4.25
7.89,11.64
3.77,9.88
11.05,6.23
9.16,5.14
4.84,3.91
9.78,10.8
9.27,8.63
4.09,8.44
11.83,10.94
10.11,9.27
6.37,9.34
8.91,6.63
7.33,9.06
8.92,7.51
7.78,3.96
5.13,3.32
3.11,10.97
6.15,4.74
8.68,4.9
8.49,10.3
8.94,5.49
12.02,4.29
7.72,8.24
12.5,4.81
4.03,4.44
7.37,9.05
5.47,6.62
8.56,9.29
11.96,10.16
11.89,9.37
5.51,12.74
5.99,8.94
8.09,9.19
5.0,9.51
8.54,10.22
8.18,4.3
11.05,10.28
6.8,11.52
12.41,11.43
3.08,9.18
12.58,7.37
8.47,7.78
3.26,3.98
9.19,6.31
12.05,10.8
4.63,6.02
5.8,10.51
10.5,5.83
5.01,12.33
12.32,3.16
12.98,8.48
6.24,4.05
7.2,12.14
3.75,6.59
7.92,9.55
4.05,12.73
8.27,8.5
12.6,4.4
3.47,10.38
7.53,11.14
11.61,3.3
6.07,8.22
7.22,9.23
11.5,6.19
9.65,9.01
7.53,4.91
12.36,5.36
11.18,8.0
5.97,5.34
6.76,6.09
7.2,10.64
3.62,11.07
8.57,6.22
7.73,6.51
8.66,5.13
12.29,3.48
10.64,10.2
6.04,5.37
7.78,11.28
8.53,9.23
8.18,10.1
10.74,6.6
7.26,3.5
5.62,11.23
5.92,9.85
7.83,7.06
4.27,12.55
4.04,5.04
5.68,9.43
5.05,3.88
3.55,6.66
8.96,5.74
3.75,10.84
10.32,4.76
8.85,3.9
3.26,3.23
6.48,10.92
8.45,7.49
3.02,12.46
12.22,3.18
5.55,9.16
3.43,7.47
9.53,8.59
8.32,3.96
7.11,11.07
5.91,4.62
10.9,3.81
7.05,11.91
11.42,10.44
8.25,3.3
11.75,6.02
7.31,10.05
11.95,5.98
11.75,11.66
6.9,11.25
12.28,7.76
5.68,10.59
3.31,9.21
7.43,5.67
9.33,11.49
8.71,3.98
11.31,3.76
9.89,9.54
9.89,9.0
3.6,11.67
12.84,11.72
6.65,7.68
12.73,12.18
7.78,6.11
7.03,7.88
7.71,3.37
6.74,6.05
4.47,8.17
11.86,3.56
6.76,4.95
11.51,3.86
10.25,9.43
3.87,4.35
6.96,7.21
6.9,10.95
5.95,8.69
3.31,11.33
4.13,11.91
4.87,12.31
9.82,8.22
9.24,11.89
7.88,4.25
9.69,11.48
4.74,7.89
11.94,9.15
3.38,4.91
4.95,10.71
3.46,8.0
12.26,11.08
9.22,9.38
8.36,5.07
8.49,3.8
10.23,3.23
9.16,9.1
7.75,5.33
5.83,7.44
7.53,11.33
8.15,11.34
4.42,7.43
4.01,5.55
11.2,12.48
5.47,7.06
12.11,8.33
12.58,3.06
8.19,6.35
10.28,8.98
12.69,10.9
6.8,6.41
3.07,10.05
7.55,3.9
12.01,12.89
7.32,11.87
3.52,3.04
4.62,6.55
11.93,7.49
6.84,7.12
10.94,10.87
11.27,4.05
6.91,5.5
7.46,6.73
5.85,8.92
8.66,3.16
6.23,11.7
5.68,4.7
10.29,10.16
5.03,4.6
5.3,10.46
3.83,9.74
11.98,12.96
8.42,11.31
11.97,8.04
9.82,11.5
7.46,7.92
9.31,10.27
6.42,11.73
9.06,8.3
3.91,4.97
8.61,9.52
5.51,8.29
5.37,9.65
11.96,4.41
8.65,4.99
5.14,6.82
9.77,9.14
4.08,8.42
7.78,4.06
6.54,3.47
8.99,5.87
5.85,11.56
11.2,5.04
4.99,8.1
7.55,5.17
9.94,11.74
3.52,4.82
12.03,5.53
10.18,11.61
4.82,5.39
10.84,8.81
4.38,6.17
3.7,10.17
3.04,3.08
12.7,10.24
5.93,3.81
9.76,3.54
6.38,4.43
6.8,8.2
10.93,10.54
12.82,6.34
7.41,3.6
11.77,6.33
9.51,11.19
9.73,9.4
9.85,9.09
5.87,6.56
9.05,12.59
10.14,9.69
12.42,4.2
12.05,4.84
7.28,4.95
9.35,4.21
3.31,6.95
12.06,8.27
5.61,5.59
7.61,8.32
5.11,10.69
5.11,5.51
3.71,7.4
12.57,11.84
12.42,9.18
8.88,4.92
8.79,7.15
3.88,8.49
6.78,12.54
3.17,7.38
5.53,11.23
11.7,6.86
6.22,12.74
9.16,3.08
5.15,8.73
12.98,3.59
9.16,9.98
9.53,4.31
4.68,4.54
12.4,11.87
4.8,3.73
7.33,8.66
9.75,7.44
6.81,10.97
4.89,4.7
4.02,9.44
7.0,10.67
4.94,5.02
3.89,6.61
9.34,12.9
4.56,5.12
6.44,11.55
7.45,8.91
8.59,3.93
11.52,7.67
6.76,3.07
